name,author,description,price,discountRate,publicationDate,rating,category,img
This is Going to Hurt,Adam Kay,"A raw and humorous account of life as a junior doctor in the UK’s NHS, this book reveals the highs and lows of working in a hospital. Adam Kay offers an unflinchingly honest look at the medical profession, filled with laugh-out-loud moments and heartbreaking stories. It’s both a celebration and a critique of the healthcare system.",7.6,5,09/20/2024,5,Medical,https://i.postimg.cc/VNqsvQ0M/0000001.jpg
"Thinking, Fast and Slow",Daniel Kahneman,"Psychologist Daniel Kahneman explores how the mind operates in two systems: fast, intuitive thinking, and slow, deliberate thought. Through engaging stories and research, the book explains how these systems shape our judgments and decisions. A must-read for anyone interested in understanding human behavior and decision-making.",11.5,15,09/20/2024,4,Medical,https://i.postimg.cc/3w5J3JNY/0000002.jpg
When Breath Becomes Air,Paul Kalanithi,"In this moving memoir, neurosurgeon Paul Kalanithi reflects on life, death, and his career after being diagnosed with terminal cancer. The book explores what makes life meaningful in the face of mortality. It’s a profound meditation on living fully, even as one faces the end.",09.05,20,09/20/2024,2,Medical,https://i.postimg.cc/wv9qsfDr/0000003.jpg
The Happiness Trap,Russ Harris,"This practical guide introduces Acceptance and Commitment Therapy (ACT), helping readers break free from the myth of constant happiness. Dr. Russ Harris offers actionable strategies to handle painful thoughts and emotions, promoting a more fulfilling and values-driven life. Perfect for anyone struggling with stress or negative thinking.",8.34,10,09/20/2024,3,Medical,https://i.postimg.cc/hjMS8Lrt/0000004.jpg
Man's Search For Meaning,Viktor E. Frankl,"In this deeply philosophical work, Viktor Frankl shares his harrowing experiences in Nazi concentration camps and the psychological lessons he drew from them. Frankl argues that finding purpose in life is key to survival and resilience. His powerful insights into meaning and suffering resonate long after reading.",9.66,8,09/20/2024,1,Medical,https://i.postimg.cc/PJxdSC3z/0000005.jpg
The Man Who Mistook His Wife for a Hat,Oliver Sacks,"Neurologist Oliver Sacks presents fascinating case studies of patients with unusual brain disorders. Each story reveals the profound and mysterious ways the brain shapes human experience, from memory loss to altered perception. It’s a captivating exploration of the mind’s fragility and resilience.",5.92,,09/20/2024,5,Medical,https://i.postimg.cc/WzHTCsxR/0000006.jpg
The 8-week Blood Sugar Diet,Michael Mosley,Dr. Michael Mosley offers a science-backed program to reverse type 2 diabetes and improve overall health. This book explains how reducing carbohydrates and controlling blood sugar levels can lead to weight loss and better metabolic health. It includes practical diet plans and motivational advice.,8.85,,09/20/2024,2,Medical,https://i.postimg.cc/c19xrcCD/0000007.jpg
The Clever Guts Diet,Michael Mosley,"Dr. Michael Mosley explores the connection between gut health and overall well-being in this comprehensive guide. The book explains how to balance the gut microbiome for improved digestion, mental health, and weight management. Recipes and dietary tips make it easy to start transforming your gut.",8.92,,09/20/2024,4,Medical,https://i.postimg.cc/4NYJthhX/0000008.jpg
12 Rules for Life,Jordan B. Peterson,"In this thought-provoking self-help guide, Jordan Peterson lays out twelve principles to bring order to a chaotic life. Drawing from psychology, philosophy, and myth, Peterson offers insights on how to live with discipline, responsibility, and purpose. The rules are meant to inspire personal growth and resilience.",18.31,,09/20/2024,,Medical,https://i.postimg.cc/NfZQxf1m/0000009.jpg
Being Mortal,Atul Gawande,"Dr. Atul Gawande explores the challenges of aging and dying in a medicalized world. He argues that the medical profession often prioritizes prolonging life over quality of life. This compassionate book advocates for a more humane approach to end-of-life care, where patients' dignity and wishes take center stage.",09.03,,09/20/2024,,Medical,https://i.postimg.cc/Z534stcg/0000010.jpg
Gut,Giulia Enders,"Giulia Enders delves into the fascinating world of the digestive system, explaining its vital role in our health and well-being. With humor and accessible science, she explores how the gut affects everything from mood to immunity. It’s a must-read for anyone curious about the hidden workings of their body.",10.49,,09/20/2024,,Medical,https://i.postimg.cc/d0YvzHN0/0000011.jpg
The Brain That Changes Itself,Norman Doidge,"Norman Doidge explores the incredible ability of the brain to adapt and heal itself, known as neuroplasticity. Through remarkable case studies, the book reveals how people have overcome brain injuries, learning disabilities, and more. It’s an inspiring read that challenges old beliefs about the brain’s limitations.",11.03,,09/20/2024,,Medical,https://i.postimg.cc/jj4KKHB4/0000012.jpg
Medical Medium Liver Rescue,Anthony William,"In this health guide, Anthony William explains the critical role of the liver in maintaining overall health and how modern lifestyles can burden it. The book provides dietary advice, detox plans, and insights into healing chronic illnesses. It's ideal for those looking to improve their health naturally.",23.76,,09/20/2024,5,Medical,https://i.postimg.cc/26jY5qDR/0000013.jpg
Wreck This Journal,Keri Smith,"Keri Smith encourages readers to break free from perfectionism with this creative and interactive journal. Each page invites you to draw, tear, or even destroy it in various ways, unleashing your imagination. It's a fun and liberating experience for anyone wanting to embrace creativity without rules.",9.59,,09/20/2024,4,Medical,https://i.postimg.cc/tTrjnXq1/0000014.jpg
12 Rules for Life,Jordan B. Peterson,"In this thought-provoking self-help guide, Jordan Peterson lays out twelve principles to bring order to a chaotic life. Drawing from psychology, philosophy, and myth, Peterson offers insights on how to live with discipline, responsibility, and purpose. The rules are meant to inspire personal growth and resilience.",20.99,5,09/20/2024,2,Medical,https://i.postimg.cc/C5zVjW5c/0000015.jpg
12 Rules for Life,Jordan B. Peterson,"In this thought-provoking self-help guide, Jordan Peterson lays out twelve principles to bring order to a chaotic life. Drawing from psychology, philosophy, and myth, Peterson offers insights on how to live with discipline, responsibility, and purpose. The rules are meant to inspire personal growth and resilience.",10.26,15,09/20/2024,3,Medical,https://i.postimg.cc/NFSvbprB/0000016.jpg
Gut and Psychology Syndrome,Dr Natasha Campbell-McBride,"Dr. Natasha Campbell-McBride explains how gut health affects neurological conditions like autism, ADHD, and depression. She introduces the GAPS diet, which aims to heal the gut and improve mental health through dietary changes. It's a valuable resource for those seeking a holistic approach to brain and gut wellness.",19.48,20,09/20/2024,1,Medical,https://i.postimg.cc/Y2s7pqDZ/0000017.jpg
Medical Medium Thyroid Healing,Anthony William,"Anthony William explores the underlying causes of thyroid disorders, offering a fresh perspective on how to heal. He provides detailed dietary and lifestyle advice for restoring thyroid health, backed by his unique medical insights. It’s a comprehensive guide for anyone struggling with thyroid issues.",17.26,10,09/20/2024,5,Medical,https://i.postimg.cc/rFRkzXvm/0000018.jpg
Steal Like an Artist,Austin Kleon,"Austin Kleon’s guide to creativity encourages readers to embrace influence and inspiration from others. The book is packed with practical advice on how to find your own voice by learning from what came before. It’s a quick, insightful read for aspiring artists and creatives.",8.81,8,09/20/2024,2,Medical,https://i.postimg.cc/g29PZtWK/0000019.jpg
Sitting Still Like A Frog,Eline Snel,"Eline Snel introduces mindfulness practices for children, helping them manage stress, anxiety, and emotions. Through simple exercises and meditation techniques, kids can learn to calm their minds and improve focus. It’s a great resource for parents and teachers looking to foster mindfulness in young ones.",10.4,5,09/20/2024,4,Medical,https://i.postimg.cc/dV8cmRQc/0000020.jpg
How Not To Die,Michael Greger,"Dr. Michael Greger offers evidence-based advice on how diet and lifestyle can prevent and even reverse many common diseases. He presents scientific research on the power of whole foods and plant-based eating. It’s an essential guide for anyone interested in living a longer, healthier life.",10.33,15,09/20/2024,,Medical,https://i.postimg.cc/SKkFZXj2/0000021.jpg
The Whole-Brain Child,Tina Payne Bryson,"Dr. Daniel J. Siegel and Tina Payne Bryson provide practical strategies for nurturing children’s developing brains. This book uses neuroscience to explain how parents can encourage emotional intelligence, resilience, and better behavior. It’s a valuable resource for parents seeking to understand their child's mind.",11.23,,09/20/2024,,Medical,https://i.postimg.cc/yNjq2VSf/0000022.jpg
